,48,50,lapD,190,192,264,460,gcbA,692,958,wspR,1252,1323,1336,rapA,gcbB,1887,2049,2170,2176,2295,2297,2525,2709,2920,3039,3508,3550,3800,3860,3972,4008,4084,4086,4150,4257,4307,4451,4487,4551,4552,gcbC,4876,4884,5150,5168,5255,5518,5643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wspR,0,,2,,1,0,4,0,,0,,4,,,3,,3,,,,,,3,0,3,4,,,,0,0,0,,2,0,0,,,3,0,3,,0,0,0,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,0,0,2,0,1,0,4,0,1,0,0,,0,2,0,0,0,2,1,0,1,1,1,2,0,0,1,1,0,0,0,0,,2,0,0,2,0,2,0,0,0,3,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,0,,3,,3,0,0,0,,0,,0,,,0,,4,,,,,,0,0,0,4,,,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336,0,,1,,2,0,0,0,,0,,3,,,0,,4,,,,,,1,2,0,0,,,,0,0,0,,4,0,0,,,2,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rapA,0,0,2,0,3,0,4,0,0,0,0,3,0,3,,0,1,3,2,0,4,2,3,3,0,0,2,1,0,4,0,0,0,4,0,0,3,0,2,0,0,0,0,4,0,0,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gcbB,0,,4,,0,0,0,0,,0,,4,,,0,,0,,,,,,0,0,0,0,,,,0,0,0,,4,0,0,,,0,0,0,,0,0,0,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,0,0,3,0,3,0,4,0,0,0,4,4,4,4,1,4,,4,4,0,0,3,4,0,0,4,3,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,0,,1,,1,0,4,0,,0,,2,,,3,,2,,,,,,1,1,2,0,,,,0,0,0,,1,0,0,,,2,0,0,,0,4,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2170,0,,1,,1,0,0,0,,0,,2,,,0,,4,,,,,,0,2,2,0,,,,0,0,0,,1,0,0,,,2,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2176,0,,0,,0,0,0,0,,0,,0,,,0,,0,,,,,,0,0,0,0,,,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2295,0,,1,,1,0,0,0,,0,,1,,,0,,4,,,,,,1,1,3,0,,,,0,0,0,,1,0,0,,,2,0,0,,0,0,0,,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2297,0,,1,,1,0,0,0,,0,,2,,,0,,4,,,,,,1,1,3,0,,,,0,0,0,,1,0,0,,,1,0,0,,0,3,0,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525,0,0,2,0,1,0,0,0,1,0,4,1,0,1,0,0,3,1,1,0,1,1,,2,0,0,1,2,0,4,0,0,4,1,0,0,1,0,1,0,0,4,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709,0,0,2,0,0,0,0,0,1,0,0,2,0,1,0,4,4,1,1,0,2,2,3,,0,0,1,3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
